id_tiempo,id_cliente,id_producto,id_region,id_vendedor,cantidad,precio_unitario,descuento,monto_total,canal_venta
282,113,14,2,12,16,1024.24,10,16387.84,Online
553,21,30,3,3,9,344.62,0,3101.58,Online
66,107,2,7,6,5,9109.56,10,45547.8,Tienda
430,100,50,10,12,14,9213.18,0,128984.52,Online
7,91,36,5,13,19,16089.34,0,305697.46,Online
559,155,36,4,8,14,15284.87,5,213988.18,Online
398,87,9,7,12,14,15086.34,5,211208.76,Online
637,137,5,1,15,15,10705.66,20,160584.9,Online
86,165,35,7,3,19,2544.09,10,48337.71,Distribuidor
388,84,45,4,8,6,5178.22,0,31069.32,Online
431,65,22,2,8,13,241.34,0,3137.42,Online
358,58,42,2,13,18,8044.18,0,144795.24,Distribuidor
254,52,48,1,10,2,4910.25,10,9820.5,Online
118,145,34,4,8,5,8549.91,5,42749.55,Tienda
621,192,16,2,13,12,1596.46,0,19157.52,Tienda
27,80,24,10,11,10,235.71,0,2357.1,Distribuidor
204,20,26,10,12,13,127.29,0,1654.77,Tienda
309,176,33,10,13,8,3660.95,0,29287.6,Online
355,137,11,7,11,19,1207.57,10,22943.83,Online
13,108,7,8,2,17,8652.74,10,147096.58,Tienda
470,182,18,3,7,12,777.7,10,9332.4,Online
277,158,22,9,13,17,193.07,20,3282.19,Tienda
606,69,23,6,14,14,147.49,15,2064.86,Online
461,63,13,8,10,3,1452.87,0,4358.61,Tienda
506,84,39,3,8,13,8468.99,0,110096.87,Online
610,180,21,5,9,9,170.77,0,1536.93,Online
416,126,39,9,13,7,8468.99,0,59282.93,Online
502,115,20,1,2,16,1418.08,10,22689.28,Online
314,170,13,10,6,13,1307.58,10,16998.54,Tienda
563,85,28,6,12,17,285.2,0,4848.4,Tienda
124,185,19,4,6,10,1160.24,0,11602.4,Online
707,48,28,4,4,18,228.16,20,4106.88,Tienda
537,153,21,5,2,9,153.69,10,1383.21,Tienda
184,78,37,1,12,10,14055.88,0,140558.8,Tienda
56,142,47,5,12,9,8949.5,0,80545.5,Distribuidor
13,147,49,5,8,16,10094.37,0,161509.92,Tienda
